OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AK,USGS Alaska Water Science Center,USGS-701248151121000,BILLS C NR LAKE OUTLET NR NUIQSUT AK,Stream,,19060205,,,,,70.21333330000000,-151.2027778000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,75,feet,12,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-701259151583700,UNNAMED C 23 MI W OF NUIQSUT AK,Stream,,,,,,,70.21630560000000,-151.9768139000000,24000,Unknown,Unknown,Interpolated from Digital MAP.,NAD83,33,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-701409151162900,BILLS C NR NUIQSUT AK,Stream,,19060205,,,,,70.23583330000000,-151.2747222000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,50,feet,12,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-701641151284400,BLACKFISH C NR NUIQSUT AK,Stream,,19060205,,,,,70.27805560000000,-151.4788889000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,25,feet,12,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-701642148144400,W CHAN SAGAVANIRKTOK R NR DEADHORSE AK,Stream,,19060402,,,,,70.27806940000000,-148.2485824000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-701720151184500,CREA C NR  NUIQSUT AK,Stream,,19060205,,,,,70.28888889000000,-151.3125000000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,12,feet,12,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-701746148424500,BIG LK NR PRUDHOE BAY AK,"Lake, Reservoir, Impoundment",,19060401,,,,,70.29583640000000,-148.7155526000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-701808151165100,OIL C NR NUIQSUT AK,Stream,,19060205,,,,,70.30222220000000,-151.2808333000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,12,feet,12,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-701812151404600,BEAR TRIO C NR NUIQSUT AK,Stream,,19060205,,,,,70.30333330000000,-151.6794444000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,12,feet,12,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-704027152471000,WEST LONG LK 1.5 MI SW OF VABM HARRY NR LONELY AK,"Lake, Reservoir, Impoundment",,19060205,,,,,70.67380048000000,-152.7893756000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4,feet,1,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
