tracer,j,i,dJ_darwin,dJ_bling,asym_rel,model0,obs_pco2
O2,48,121,-0.0,-0.0005532596473680751,nan,0.00029952972545288503,0.0003665215922494349
O2,50,80,-0.0,-0.0005155810188051051,nan,0.0002994597889482975,0.00038099718108704233
O2,51,66,-0.0,-0.0009190957466069321,nan,0.000280992710031569,0.00041820622777147845
O2,54,108,-0.0,-0.0019283298651597564,nan,0.00018131578690372407,0.00033237413024902345
O2,55,3,-0.0,-3.303457884505104e-05,nan,0.00025473031564615667,0.00037656227001171475
O2,40,97,0.0,0.13829560287229137,nan,0.0005122249713167548,0.00037598521781298175
NO3,4,109,-0.0,6.073621468532177,nan,0.0002532072248868644,0.00040177796936035156
NO3,6,63,0.009594898340971332,9.433461481885719e-14,0.3333336648659064,0.00030618486925959587,0.00036472048164480376
NO3,6,74,0.002290877492130694,-8.43953000267905e-06,1.0,0.00029673485551029444,0.0003311780194102093
NO3,6,87,0.00295212839649294,1.0313079561888325e-17,6.369366412944485e-07,0.0002975716779474169,0.0003204178187502488
NO3,6,97,-0.0007113305973506054,-6.366828193744563e-14,1.0,0.00030031727510504425,0.0002883125338164899
NO3,7,10,0.0,-4.709627796908276e-13,nan,0.00030381596297957003,0.00024051820383788012
NO3,9,120,0.20864243028668436,-8.668897379256382e-12,0.04346905944707425,0.0002833450853358954,0.0003378032382808605
NO3,10,25,0.10093849671467024,-1.35505072237573e-08,0.08935457756557845,0.00032398971961811185,0.0003356227809323486
NO3,10,35,0.29045832396405036,-1.153660257035558e-10,0.02442656346430029,0.000332867493852973,0.0003443587313501019
NO3,13,53,0.6249541607649347,0.0010193480369521369,0.030916944553399973,0.0002993889502249658,0.00036413286572456536
NO3,17,12,1582.6865314550914,-18.249770360060467,0.09367284048337506,0.0002628921065479517,0.0003497863656857397
NO3,17,63,3278.1704506849937,56.283775020711666,0.004491090764607998,0.0002939020923804492,0.0003664801290993898
NO3,19,1,2558.68437206633,39.621041141322834,0.021653794399331634,0.0003032826352864504,0.0003554803670247396
NO3,19,101,15.197384491914013,-0.08988193331875768,0.019861754362888322,0.0002934215881396085,0.00048292603363204306
NO3,20,23,1458.7551939563439,707.8103106174941,0.0006300506020693085,0.0003550185065250844,0.0003787671202601883
NO3,24,37,1612.6694964905862,800.6417961237405,0.0003177723685136321,0.0003161148342769593,0.00034977307128906244
NO3,25,73,1697.8611327632998,699.9926408457511,0.0015833840400721543,0.00031436499557457864,0.00034954657030282434
NO3,25,91,1887.3992702020903,153.9948052777519,0.0031501639002556193,0.00034605362452566624,0.0003817779936949807
NO3,25,119,2664.423577926966,1487.8749617965925,0.008839767256725792,0.00035668438067659736,0.0004128518385190636
NO3,27,55,-5626.078242619927,-1670.529202926901,0.004503938684551985,0.0004401864716783166,0.0004035625684554544
NO3,30,14,1506.1412681485642,446.82468293741255,0.006617463657879043,0.00035039670183323324,0.0003761978352864583
NO3,30,25,-108.08229581942105,-43.939534658852985,0.0239564550381958,0.0003539259487297386,0.00035131582014072963
NO3,34,109,5287.293960346886,965.2714719971865,0.00319600118744501,0.00035873017623089254,0.00040860665529411346
NO3,38,77,901.9832018172837,279.4386628164326,9.626973689344075e-05,0.0003288451407570392,0.00034725264936587806
NO3,38,121,0.037861834508432626,-0.7240437944370207,9.745703091046708e-07,0.00032095907954499125,0.0003657535854921646
NO3,39,46,-280.17694345356364,-65.80249374897853,0.0019232094466598887,0.0003191180294379592,0.0003126033668146856
NO3,39,67,2991.335233317934,988.0478513922444,0.0078545680031723,0.0003037040587514639,0.00036533403737040645
NO3,39,89,-5417.343820165472,-180.73980636447357,0.00424795221442821,0.0004359783779364079,0.0003700523545891922
NO3,40,22,13.25281701719305,4.288343536835763,0.03192269832938505,0.000358377059455961,0.00039223416137695313
NO3,41,56,1982.4084922002128,84.53588902181792,0.0008179248516938244,0.00029471691232174635,0.00033595784695910334
